Date	Month#	Volume
Mar-05	1	250495
Apr-05	2	249958
May-05	3	248884
Jun-05	4	245941
Jul-05	5	242491
Aug-05	6	238280
Sep-05	7	235932
Oct-05	8	233856
Nov-05	9	232048
Dec-05	10	232820
Jan-06	11	232048
Feb-06	12	232048
Mar-06	13	234893
Apr-06	14	251840
May-06	15	252381
Jun-06	16	249421
Jul-06	17	245941
Aug-06	18	242491
Sep-06	19	239330
Oct-06	20	236975
Nov-06	21	234634
Dec-06	22	233308
Jan-07	23	231534
Feb-07	24	231277
Mar-07	25	229737
Apr-07	26	227183
May-07	27	224898
Jun-07	28	221124
Jul-07	29	217384
Aug-07	30	215159
Sep-07	31	210018
Oct-07	32	207598
Nov-07	33	204718
Dec-07	34	203762
Jan-08	35	223889
Feb-08	36	229737
Mar-08	37	227947
Apr-08	38	228202
May-08	39	225404
Jun-08	40	222377
Jul-08	41	219623
Aug-08	42	215159
Sep-08	43	212214
Oct-08	44	209293
Nov-08	45	208081
Dec-08	46	207358
Jan-09	47	206156
Feb-09	48	207358
Mar-09	49	206636
Apr-09	50	204956
May-09	51	202335
Jun-09	52	199733
Jul-09	53	196451
Aug-09	54	192742
Sep-09	55	189074
Oct-09	56	187939
Nov-09	57	185453
Dec-09	58	185678
Jan-10	59	194127
Feb-10	60	199026
Mar-10	61	199498
Apr-10	62	199498
May-10	63	197152
Jun-10	64	194127
Jul-10	65	191132
Aug-10	66	188166
Sep-10	67	185288
Oct-10	68	184105
Nov-10	69	182539
Dec-10	70	195520
Jan-11	71	196685
Feb-11	72	199026
Mar-11	73	216889
Apr-11	74	221625
May-11	75	220622
Jun-11	76	218129
Jul-11	77	215159
Aug-11	78	212214
Sep-11	79	209935
Oct-11	80	207839
Nov-11	81	206877
Dec-11	82	205195
Jan-12	83	204240
Feb-12	84	202809
Mar-12	85	202098
Apr-12	86	201623
May-12	87	199262
Jun-12	88	196918
Jul-12	89	193895
Aug-12	90	190218
Sep-12	91	187485
Oct-12	92	184777
Nov-12	93	183881
Dec-12	94	183210
Jan-13	95	182093
Feb-13	96	180984
Mar-13	97	179435
Apr-13	98	177456
May-13	99	174620
Jun-13	100	171597
Jul-13	101	168185
Aug-13	102	164602
Sep-13	103	161274
Oct-13	104	158192
Nov-13	105	156360
Dec-13	106	153969
Jan-14	107	151941
Feb-14	108	153537
Mar-14	109	152536
Apr-14	110	150552
May-14	111	147808
Jun-14	112	145099
Jul-14	113	141863
Aug-14	114	138495
Sep-14	115	135549
Oct-14	116	133016
Nov-14	117	131404
Dec-14	118	131582
Jan-15	119	130871
Feb-15	120	129983
Mar-15	121	128244
Apr-15	122	126074
May-15	123	124036
Jun-15	124	121793
Jul-15	125	119413
Aug-15	126	116901
Sep-15	127	114102
Oct-15	128	111512
Nov-15	129	108969
Dec-15	130	106766
Jan-16	131	107400
Feb-16	132	106622
Mar-16	133	106158
Apr-16	134	104619
May-16	135	102946
Jun-16	136	100696
Jul-16	137	98339
Aug-16	138	95593
Sep-16	139	93184
Oct-16	140	91374
		
		
		
		
